frame,ms
0,0.269000
1,0.258100
2,0.271600
3,0.266100
4,0.278600
5,0.319400
6,0.248900
7,0.255400
8,0.263300
9,0.276800
10,0.256200
11,0.279400
12,0.267700
13,0.275600
14,0.281700
15,0.252100
16,0.297000
17,0.260900
18,0.277100
19,0.259000
20,0.248100
21,0.241000
22,0.296300
23,0.264600
24,0.276500
25,0.267900
26,0.260800
27,0.282200
28,0.255700
29,0.267400
30,0.244700
31,0.309500
32,0.262000
33,0.256800
34,0.285100
35,0.253100
36,0.273600
37,0.252000
38,0.286100
39,0.252100
40,0.265800
41,0.261100
42,0.262900
43,0.263600
44,0.250500
45,0.289700
46,0.253300
47,0.287000
48,0.268900
49,0.324100
50,0.265600
51,0.280200
52,0.268300
53,0.265000
54,0.328000
55,0.296100
56,0.251900
57,0.288600
58,0.263900
59,0.267600
60,0.303500
61,0.323300
62,0.257700
63,0.258600
64,0.298900
65,0.259600
66,0.328700
67,0.336900
68,0.261200
69,0.365900
70,0.257500
71,0.293100
72,0.255600
73,0.279800
74,0.330700
75,0.275300
76,0.295500
77,0.262000
78,0.298800
79,0.244100
80,0.294300
81,0.258600
82,0.275800
83,0.273700
84,0.268600
85,0.285600
86,0.323400
87,0.251700
88,0.274300
89,0.277700
90,0.271400
91,0.270200
92,0.271300
93,0.287300
94,0.253000
95,0.271100
96,0.258800
97,0.337200
98,0.259300
99,0.249300
100,0.261900
101,0.259200
102,0.294000
103,0.270600
104,0.267700
105,0.250100
106,0.254000
107,0.253700
108,0.242800
109,0.288200
110,0.253700
111,0.282200
112,0.259700
113,0.309600
114,0.266300
115,0.273000
116,0.259100
117,0.299400
118,0.265500
119,0.290100
120,0.241500
121,0.262500
122,0.283100
123,0.269200
124,0.330500
125,0.328900
126,0.258800
127,0.265200
128,0.307900
129,0.257500
130,0.273500
131,0.255600
132,0.288900
133,0.254700
134,0.267500
135,0.241300
136,0.294300
137,0.251800
138,0.261600
139,0.257900
140,0.248500
141,0.292500
142,0.266000
143,0.261700
144,0.290000
145,0.253900
146,0.272500
147,0.262200
148,0.262900
149,0.254700
150,0.263600
151,0.266600
152,0.259300
153,0.270100
154,0.262500
155,0.252900
156,0.265200
157,0.314400
158,0.259800
159,0.301200
160,0.253900
161,0.262000
162,0.256000
163,0.279600
164,0.287500
165,0.255200
166,0.286200
167,0.249200
168,0.290500
169,0.264100
170,0.274500
171,0.259900
172,0.315100
173,0.260700
174,0.268000
175,0.260300
176,0.255600
177,0.316200
178,0.255000
179,0.258200
180,0.247600
181,0.297300
182,0.251800
183,0.343000
184,0.270200
185,0.258300
186,0.258700
187,0.265600
188,0.258300
189,0.263400
190,0.263400
191,0.246500
192,0.280200
193,0.243000
194,0.298500
195,0.275200
196,0.317000
197,0.257900
198,0.267700
199,0.261700
