frame,ms
0,0.233600
1,0.247000
2,0.230300
3,0.251700
4,0.251300
5,0.236000
6,0.344500
7,0.232600
8,0.227700
9,0.227800
10,0.229100
11,0.228000
12,0.227700
13,0.229000
14,0.226600
15,0.225800
16,0.281200
17,0.230000
18,0.226500
19,0.227600
20,0.228800
21,0.231000
22,0.243000
23,0.257900
24,0.267200
25,0.261200
26,0.252400
27,0.252600
28,0.247200
29,0.272500
30,0.248800
31,0.283900
32,0.254800
33,0.252400
34,0.243800
35,0.239800
36,0.242500
37,0.235500
38,0.229900
39,0.225900
40,0.225700
41,0.296900
42,0.230800
43,0.228000
44,0.256500
45,0.268600
46,0.231300
47,0.226000
48,0.225900
49,0.227600
50,0.225700
51,0.225800
52,0.227300
53,0.225300
54,0.225500
55,0.225700
56,0.231500
57,0.225500
58,0.226100
59,0.227600
60,0.225500
61,0.226400
62,0.225700
63,0.227300
64,0.225400
65,0.225600
66,0.225300
67,0.231100
68,0.230300
69,0.229200
70,0.232400
71,0.231900
72,0.235800
73,0.239600
74,0.386600
75,0.478100
76,0.236800
77,0.229700
78,0.228800
79,0.264800
80,0.232000
81,0.229900
82,0.278900
83,0.228900
84,0.230800
85,0.226700
86,0.227200
87,0.241500
88,0.228200
89,0.225900
90,0.226100
91,0.228000
92,0.227100
93,0.227700
94,0.226700
95,0.229100
96,0.274600
97,0.232100
98,0.225800
99,0.228000
100,0.241300
101,0.225500
102,0.227200
103,0.225400
104,0.226100
105,0.226000
106,0.227500
107,0.225400
108,0.225400
109,0.253400
110,0.297300
111,0.227800
112,0.225600
113,0.247500
114,0.226600
115,0.225200
116,0.227700
117,0.225500
118,0.233300
119,0.225400
120,0.232000
121,0.225300
122,0.227900
123,0.237600
124,0.225200
125,0.225500
126,0.225400
127,0.227900
128,0.225800
129,0.225500
130,0.226100
131,0.227700
132,0.225500
133,0.252700
134,0.226500
135,0.224500
136,0.224400
137,0.228500
138,0.227300
139,0.227200
140,0.233200
141,0.248200
142,0.233900
143,0.238600
144,0.228100
145,0.229700
146,0.230000
147,0.230700
148,0.225400
149,0.226500
150,0.224400
151,0.275800
152,0.228500
153,0.225000
154,0.224100
155,0.226200
156,0.224700
157,0.224400
158,0.223900
159,0.226500
160,0.228400
161,0.224200
162,0.225900
163,0.224100
164,0.224100
165,0.246200
166,0.224200
167,0.224600
168,0.226200
169,0.224400
170,0.264600
171,0.226600
172,0.245100
173,0.224300
174,0.318200
175,0.231100
176,0.225000
177,0.226400
178,0.228200
