frame,ms
0,0.022900
1,0.016500
2,0.016900
3,0.016600
4,0.016500
5,0.016400
6,0.017000
7,0.016500
8,0.016500
9,0.016400
10,0.016400
11,0.016500
12,0.016500
13,0.016500
14,0.016500
15,0.016400
16,0.016300
17,0.016700
18,0.016800
19,0.016500
20,0.016400
21,0.083400
22,0.016600
23,0.016600
24,0.016500
25,0.016300
26,0.016700
27,0.016400
28,0.016400
29,0.016500
30,0.016400
31,0.016700
32,0.016600
33,0.016600
34,0.016500
35,0.016700
36,0.016700
37,0.016600
38,0.016600
39,0.016700
40,0.016700
41,0.016500
42,0.016500
43,0.016500
44,0.016700
45,0.016500
46,0.016500
47,0.016600
48,0.016600
49,0.016500
50,0.016400
51,0.016400
52,0.016300
53,0.016400
54,0.016800
55,0.016300
56,0.016300
57,0.016400
58,0.016300
59,0.016500
60,0.016700
61,0.016700
62,0.016600
63,0.016700
64,0.016700
65,0.016400
66,0.016400
67,0.016500
68,0.016500
69,0.016500
70,0.016400
71,0.016600
72,0.016500
73,0.016500
74,0.016500
75,0.016500
76,0.016500
77,0.016700
78,0.016700
79,0.016800
80,0.016900
81,0.016800
82,0.016900
83,0.016600
84,0.016800
85,0.016700
86,0.016700
87,0.016500
88,0.016600
89,0.016500
90,0.016700
91,0.016500
92,0.016400
93,0.016500
94,0.016400
95,0.016400
96,0.016500
97,0.016300
98,0.016500
99,0.016400
100,0.016400
101,0.016400
102,0.016400
103,0.016300
104,0.016500
105,0.016600
106,0.016300
107,0.016300
108,0.016400
109,0.016400
110,0.016500
111,0.016500
112,0.016500
113,0.016500
114,0.016400
115,0.016700
116,0.016400
117,0.020000
118,0.029600
119,0.017300
120,0.016300
121,0.016400
122,0.016900
123,0.016700
124,0.016600
125,0.016600
126,0.016600
127,0.016600
128,0.016300
129,0.016700
130,0.016500
131,0.016900
132,0.016500
133,0.016600
134,0.023600
135,0.017100
136,0.017100
137,0.016600
138,0.016700
139,0.017000
140,0.016800
141,0.016800
142,0.017200
143,0.017200
144,0.017000
145,0.021800
146,0.017100
147,0.016400
148,0.016800
149,0.016400
150,0.016300
151,0.016500
152,0.016400
153,0.016700
154,0.016900
155,0.016700
156,0.016600
157,0.016900
158,0.016800
159,0.016500
160,0.016900
161,0.016700
162,0.016600
163,0.017000
164,0.016900
165,0.016600
166,0.016400
167,0.016800
168,0.017000
169,0.017500
170,0.017100
171,0.016600
172,0.017000
173,0.016900
174,0.028500
175,0.024200
176,0.016800
177,0.017200
178,0.017000
179,0.016600
180,0.017300
181,0.017700
182,0.017500
183,0.016900
184,0.017000
185,0.017000
186,0.016800
187,0.017200
188,0.016900
189,0.017100
190,0.016800
191,0.019500
192,0.021800
193,0.017400
194,0.017100
195,0.018400
196,0.017400
197,0.016800
198,0.016800
199,0.016800
200,0.016800
201,0.016900
202,0.017000
203,0.017200
204,0.016700
205,0.016700
206,0.022000
207,0.016900
208,0.022200
209,0.017000
210,0.028200
211,0.032000
212,0.018400
213,0.016800
214,0.016900
215,0.016700
216,0.016700
217,0.016300
218,0.016400
219,0.017100
220,0.016700
221,0.016500
222,0.016500
223,0.016300
224,0.016400
225,0.016400
226,0.016400
227,0.016600
228,0.016600
229,0.016600
230,0.023800
231,0.026100
232,0.016900
233,0.016600
234,0.017000
235,0.016500
236,0.016700
237,0.016600
238,0.016400
239,0.016700
240,0.016800
241,0.017100
242,0.016700
243,0.016600
244,0.016500
245,0.016600
246,0.016700
247,0.016400
248,0.016500
249,0.016600
250,0.016900
251,0.016900
252,0.016800
253,0.016700
254,0.016700
255,0.016700
256,0.016800
257,0.016700
258,0.023600
259,0.016900
260,0.016800
261,0.017000
262,0.016700
263,0.016900
264,0.017100
265,0.016900
266,0.016800
267,0.016900
268,0.016800
269,0.016700
270,0.017000
271,0.017100
272,0.016600
273,0.016600
274,0.016500
275,0.016600
276,0.016500
277,0.016500
278,0.016500
279,0.016600
280,0.016700
281,0.016700
282,0.016800
283,0.016600
284,0.016900
285,0.017000
286,0.016600
287,0.016700
288,0.016500
289,0.016900
290,0.016600
291,0.016700
292,0.016700
293,0.016400
294,0.016500
295,0.016600
296,0.016800
297,0.017000
298,0.017000
299,0.016800
300,0.016600
301,0.016900
302,0.016700
303,0.016700
304,0.016600
305,0.016800
306,0.017600
307,0.016800
308,0.017100
309,0.016700
310,0.016900
311,0.016900
312,0.016900
313,0.016700
314,0.016700
315,0.016700
316,0.016800
317,0.016600
318,0.016700
319,0.016500
320,0.016400
321,0.016600
322,0.016700
323,0.016600
324,0.016300
325,0.016400
326,0.016400
327,0.016500
328,0.016400
329,0.016500
330,0.016600
331,0.016400
332,0.016400
333,0.016500
334,0.016300
335,0.016500
336,0.016400
337,0.016600
338,0.016300
339,0.016600
340,0.016300
341,0.016600
342,0.016700
343,0.017100
344,0.016800
345,0.016700
346,0.016800
347,0.017000
348,0.016700
349,0.017200
350,0.016800
351,0.017200
352,0.016700
353,0.016800
354,0.017300
355,0.017100
356,0.016900
357,0.016400
358,0.016900
359,0.016800
360,0.016900
361,0.016600
362,0.016700
363,0.016600
364,0.016700
365,0.016500
366,0.016800
367,0.016600
368,0.016700
369,0.016600
370,0.016600
371,0.016700
372,0.016900
373,0.016900
374,0.017000
375,0.017000
376,0.017400
377,0.016700
378,0.016900
379,0.017000
380,0.016900
381,0.016900
382,0.017200
383,0.017000
384,0.017100
385,0.017100
386,0.017200
387,0.016900
388,0.017300
389,0.017000
390,0.016900
391,0.016700
392,0.017100
393,0.016600
394,0.016800
395,0.017300
396,0.017600
397,0.018100
398,0.017400
399,0.017800
400,0.017700
401,0.017000
402,0.018300
403,0.016800
404,0.016900
405,0.017400
406,0.017000
407,0.021000
408,0.017400
409,0.030800
410,0.031300
411,0.032900
412,0.029100
413,0.017100
414,0.016500
415,0.016700
416,0.016700
417,0.017100
418,0.016400
419,0.016600
420,0.017000
421,0.016800
422,0.016700
423,0.019400
424,0.021600
425,0.016600
426,0.016600
427,0.016600
428,0.016500
429,0.016700
430,0.016600
431,0.016900
432,0.016800
433,0.016600
434,0.016500
435,0.016400
436,0.016500
437,0.016500
438,0.016500
439,0.016500
440,0.016400
441,0.016600
442,0.016400
443,0.016400
444,0.016500
445,0.016300
446,0.016300
447,0.016700
448,0.016500
449,0.016500
450,0.016600
451,0.016600
452,0.016400
